LoanId,Date,Description,Principal,Interest,Fees,Penalty,Due,Paid,Pending Due,Total Due,Principal Due
1621672.0,02/12/2020,"Repayment, Admin Fee",0,"1,980.00",560.00,0,"2,540.00",,"2,540.00","2,540.00",0
1621672.0,02/12/2020,Repayment,"6,600.00",0,0,0,"6,600.00",,"9,140.00","9,140.00","6,600.00"
1621672.0,01/01/2021,"Make due, Marketing Fee",0,0,462.00,0,462.00,,"9,602.00","9,602.00","6,600.00"
1621672.0,02/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"9,687.80","9,687.80","6,600.00"
1621672.0,03/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"9,773.60","9,773.60","6,600.00"
1621672.0,04/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"9,859.40","9,859.40","6,600.00"
1621672.0,05/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"9,945.20","9,945.20","6,600.00"
1621672.0,06/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,031.00","10,031.00","6,600.00"
1621672.0,07/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,116.80","10,116.80","6,600.00"
1621672.0,08/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,202.60","10,202.60","6,600.00"
1621672.0,09/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,288.40","10,288.40","6,600.00"
1621672.0,10/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,374.20","10,374.20","6,600.00"
1621672.0,11/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,460.00","10,460.00","6,600.00"
1621672.0,12/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,545.80","10,545.80","6,600.00"
1621672.0,13/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,631.60","10,631.60","6,600.00"
1621672.0,14/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,717.40","10,717.40","6,600.00"
1621672.0,15/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,803.20","10,803.20","6,600.00"
1621672.0,16/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,889.00","10,889.00","6,600.00"
1621672.0,17/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"10,974.80","10,974.80","6,600.00"
1621672.0,18/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,060.60","11,060.60","6,600.00"
1621672.0,19/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,146.40","11,146.40","6,600.00"
1621672.0,20/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,232.20","11,232.20","6,600.00"
1621672.0,21/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,318.00","11,318.00","6,600.00"
1621672.0,22/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,403.80","11,403.80","6,600.00"
1621672.0,23/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,489.60","11,489.60","6,600.00"
1621672.0,24/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,575.40","11,575.40","6,600.00"
1621672.0,25/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,661.20","11,661.20","6,600.00"
1621672.0,26/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,747.00","11,747.00","6,600.00"
1621672.0,27/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,832.80","11,832.80","6,600.00"
1621672.0,28/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"11,918.60","11,918.60","6,600.00"
1621672.0,29/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"12,004.40","12,004.40","6,600.00"
1621672.0,30/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"12,090.20","12,090.20","6,600.00"
1621672.0,31/01/2021,Penalty fee at 1% per day,0,0,0,85.80,85.80,,"12,176.00","12,176.00","6,600.00"
,,Total Due,"6,600.00","1,980.00","1,022.00","2,574.00","12,176.00",0,"12,176.00",,"6,600.00"
,,Total Paid,0,0,0,0,,,,,
,,Total Pending Due,"6,600.00","1,980.00","1,022.00","2,574.00",,,,,
